pathway,pvalue,dist
M1825,0.001,0.387800447
M27213,0.001,0.385294301
M643,0.001,0.125363801
M26996,0.001,0.38305358
M26946,0.001,0.209761773
M27765,0.049,0.172665938
M970,0.001,0.268435031
M27146,0.001,0.2705445
M27488,0.001,0.386822806
M700,0.001,0.272419247
M626,0.068,0.215368377
M27947,0.001,0.381581597
M27500,0.011,0.215262076
M26958,0.001,0.280495497
M524,0.016,0.277685092
M703,0.001,0.213686403
M702,0.001,0.126031053
M26902,0.001,0.110152276
M17243,0.001,0.169521971
M18193,0.001,0.145144391
M38998,0.001,0.380016592
M592,0.001,0.088207573
M975,0.001,0.144362732
M721,1,Inf
M27449,0.001,0.276194223
M42522,0.04,0.12826228
M188,0.001,0.207465479
M27095,0.001,0.268322653
M3862,0.001,0.109094752
M27292,0.015,0.274293993
M27114,0.001,0.270098509
M26955,0.001,0.389063527
M27024,0.001,0.386822806
M27948,0.001,0.03498826
M17814,0.001,0.023520589
M11980,0.001,0.081880596
M26976,0.001,0.0183046
M27161,0.078,0.109870745
M1018,0.001,0.272419247
M811,0.001,0.380011213
M27478,1,Inf
M27627,0.001,0.02206976
M9990,0.005,0.143298605
M10679,0.001,0.381097429
M26909,0.001,0.081796584
M27958,0.001,0.033924248
M27793,0.001,0.385294301
M27033,0.001,0.384286053
M27836,0.001,0.274874687
M27839,0.323,0.129583278
M27658,0.021,0.215262076
M1062,0.001,0.109417912
M27172,0.001,0.03144709
M708,0.001,0.381762959
M794,0.001,0.208416212
M801,0.01,0.208853015
M495,0.001,0.0134072
M27140,0.001,0.02734907
M27481,0.001,0.268464526
M796,0.001,0.126551517
M2341,0.001,0.011031425
M27934,0.001,0.060171451
M4974,0.001,0.075833058
M27700,0.001,0.212389226
M27722,0.001,0.38305358
M27725,0.001,0.392467506
M26904,0.001,0.380627242
M27254,0.001,0.10930235
M27298,0.001,0.268031813
M920,0.001,0.125396286
M27890,0.033,0.277104399
M499,0.001,0.046353653
M27889,0.213,0.128984845
M27086,0.001,0.145097568
M27917,0.001,0.280495497
M10320,0.09,0.004623335
M998,1,Inf
M27738,0.049,0.215716455
M27106,0.001,0.379207214
M3871,0.003,0.037855388
M601,0.001,0.059889308
M26910,0.001,0.272177936
M26943,0.001,0.099003243
M934,0.001,0.212004776
M27152,0.001,0.016575621
M866,0.001,0.274114796
M27098,0.002,0.14615824
M749,0.001,0.028633676
M26947,0.001,0.268177869
M29839,0.061,0.216383403
M27828,0.006,0.050384995
M3634,0.227,0.065212403
M907,0.001,0.080585372
M17694,0.001,0.031374573
M27339,0.001,0.280495497
M29837,0.001,0.097879014
M27434,0.001,0.098627874
M780,0.001,0.385294301
M27454,0.002,0.017152911
M27485,0.001,0.06915277
M41809,0.001,0.002756485
M13897,0.001,0.169629282
M27473,0.001,0.076180841
M840,0.001,0.060007354
M27288,0.001,0.004091047
M902,0.014,0.27540885
M27379,0.022,0.214701429
M26991,0.001,0.383822318
M27619,0.112,0.278799948
M27708,0.001,0.143151491
M27937,0.001,0.143323352
M820,0.001,0.028635833
M16312,0.02,0.002818665
M27838,0.004,0.269053632
M27480,0.001,0.034011902
M897,0.001,0.011148841
M4953,0.001,0.207641096
M29830,0.001,0.026130144
M758,1,0.030339638
M19832,0.001,0.006585356
M27466,0.001,0.269652518
M27396,0.001,0.109718797
M797,0.001,0.12684347
M19248,0.001,0.009498359
M27542,0.001,0.386822806
M784,0.001,0.124556941
M15303,0.001,0.001412732
M27084,0.001,0.384286053
M27087,0.001,0.381581597
M11725,0.001,0.047563094
M27188,0.001,0.002029914
M27935,0.001,0.001722055
M27166,0.001,0.209116213
M27182,0.001,0.268057129
M27321,0.001,0.026971352
M27621,1,0.270573412
M29814,0.001,0.382045332
M17879,0.001,0.063979411
M16227,0.001,0.170376681
M29701,0.001,0.380260417
M41837,0.001,0.00315625
M27681,0.02,0.213338326
M27558,0.001,0.056162726
M27096,0.001,0.273179137
M9694,0.001,0.381262756
M678,0.001,0.064823814
M559,0.001,0.208179118
M27363,0.001,0.379207214
M1044,0.001,0.381097906
M1078,0.001,0.268711091
M10546,0.001,0.271892949
M29668,0.001,0.380541003
M27773,0.001,0.392467506
M26982,0.001,0.381057597
M26926,0.001,0.385294301
M651,0.001,0.173121519
M837,0.001,0.143502864
M27103,0.001,0.010113835
M8245,0.013,0.380524605
M26907,0.001,0.124765367
M27164,0.001,0.169908039
M5650,0.001,0.050980365
M27818,0.001,0.074503727
M6591,0.001,0.386822806
M27591,0.001,0.269047337
M16289,0.001,0.111486143
M27193,0.001,0.380016592
M808,0.001,0.068605591
M27656,0.001,0.143789111
M27113,0.001,0.20818219
M889,0.001,0.268581087
M27483,0.001,0.272779079
M938,0.001,0.006547411
M27812,0.001,0.074508969
M27484,0.54,0.003597207
M512,0.001,0.019567447
M27697,0.02,0.003096724
M751,0.002,0.041311732
M2843,0.001,0.005910202
M27272,0.001,0.030511728
M18334,0.001,0.081606346
M11153,0.001,0.045291701
M27258,0.001,0.380425771
M27263,0.001,0.379652244
M39001,0.001,0.270928378
M39000,0.007,0.276925202
M26953,0.001,0.011964963
M42527,0.001,0.033753927
M27248,0.001,0.268322653
M41831,0.97,0.008034034
M557,0.001,0.277104399
M38996,0.001,0.11078254
M27243,0.001,0.143518626
M26981,0.001,0.145795197
M29840,0.001,0.011964923
M27360,0.001,0.144017747
M27465,0.207,0.045129893
M27227,0.117,0.21109567
M27046,0.001,0.01068877
M27468,0.001,0.081887238
M27274,0.001,0.09792278
M13492,0.001,0.143683215
M27752,0.005,0.02763266
M27546,0.001,0.053909913
M27275,0.001,0.008216645
M27470,0.622,0.143268882
M27428,0.001,0.069272942
M27554,0.001,0.004393692
M27244,0.001,0.017283964
M27171,0.001,0.208683809
M27702,0.121,0.147805466
M27399,0.001,0.169709302
M27712,0.001,0.124287406
M27563,0.001,0.169556706
M2158,0.001,0.029432118
M27400,0.001,0.380722459
M550,0.001,0.008327166
M27151,0.001,0.144899225
M27257,0.001,0.043495623
M29829,0.001,0.013788262
M27303,0.001,0.099634004
M26930,0.001,0.37858111
M549,0.006,0.208586462
M27756,0.001,0.056140355
M27191,0.001,0.037737226
M669,0.001,0.068601727
M628,0.001,0.059822176
M27582,0.04,0.033681987
M29724,0.001,0.00780452
M17386,0.001,0.088783758
M994,0.001,0.382155746
M27510,0.001,0.27111245
M522,0.001,0.002980268
M39005,0.001,0.045505396
M6768,0.001,0.088624308
M19752,0.001,0.008368015
M4280,0.001,0.171197581
M12123,0.001,0.127787977
M27163,0.361,0.007896079
M27156,0.001,0.270197399
M26945,0.001,0.276925202
M27129,0.001,0.280495497
M29854,0.001,0.064164787
M29808,0.001,0.081852434
M11184,0.001,0.112076722
M779,0.001,0.033692975
M525,0.001,0.214995522
M27111,0.005,0.146791305
M27601,1,Inf
M16597,0.001,0.143793184
M27763,0.001,0.030388479
M27309,0.001,0.143195916
M27875,0.001,0.143013519
M27310,0.001,0.380241475
M8410,0.001,0.208508815
M27343,0.001,0.380425771
M26928,0.013,0.173270402
M29536,0.019,0.112541845
M13408,0.001,0.056323771
M27177,0.001,0.37950858
M26969,0.001,0.012253037
M27476,1,0.010830975
M27952,0.001,0.063894229
M19861,0.001,0.143452845
M14663,0.001,0.268161649
M27686,1,Inf
M27311,0.001,0.02682681
M641,0.001,0.020862756
M29556,1,Inf
M27651,0.001,0.015863966
M941,0.001,0.002733581
M729,0.001,0.038029752
M14990,0.001,0.143453669
M27854,0.5,0.00330856
M839,0.001,0.012250238
M27794,0.001,0.00134596
M27108,0.001,0.268676222
M27308,0.001,0.014144114
M27206,0.001,0.041290569
M27589,0.001,0.043176138
M27253,0.001,0.008754421
M27097,0.001,0.011805157
M29842,0.001,0.041170306
M1002,0.001,0.013308387
M41721,0.014,0.125109715
M27297,0.001,0.109552111
M41724,0.001,0.074196322
M661,0.001,0.056187831
M27189,0.005,0.210494505
M1017,0.001,0.003082963
M27599,1,Inf
M27544,0.014,0.27540885
M27946,0.001,0.170920624
M27940,0.001,0.169789379
M27941,0.001,0.080999925
M27317,0.001,0.387226297
M29803,0.001,0.023427581
M27205,0.001,0.0179834
M805,1,Inf
M27506,0.001,0.275989543
M9648,0.001,0.208971425
M595,0.001,0.016382438
M27101,0.001,0.036350672
M2844,0.001,0.012095259
M13115,0.001,0.380179209
M19312,0.001,0.109574998
M27175,0.001,0.001700461
M631,0.001,0.012243763
M27938,0.001,0.007669601
M600,0.001,0.003458913
M10450,0.001,0.379652244
M927,0.001,0.384429718
M27676,0.001,0.277104399
M1040,0.001,0.04516276
M27874,0.001,0.039509217
M800,0.017,0.006808263
M12484,0.091,0.110329121
M532,0.001,0.088512482
M27207,0.001,0.053255376
M27649,0.001,0.0036832
M27698,0.001,0.027713247
M26993,0.001,0.05694445
M14309,0.001,0.068933447
M14981,0.001,0.171051126
M15243,0.001,0.379505132
M657,0.001,0.20813335
M976,0.001,0.388793498
M4904,0.001,0.03946109
M27820,0.001,0.02439314
M27076,0.001,0.389063527
M17787,1,0.217398429
M27851,0.001,0.125236584
M630,0.001,0.175915252
M27028,0.001,0.268762792
M587,0.001,0.001765799
M27657,0.001,0.280495497
M19193,0.001,0.143061724
M27236,0.001,0.210286012
M11575,0.001,0.381057564
M27247,0.001,0.143648997
M26972,0.001,0.01832302
M27857,0.001,0.053145467
M576,0.001,0.03274752
M13748,0.001,0.023560985
M27352,0.001,0.207631507
M791,0.001,0.059883337
M26911,0.001,0.00755719
M26983,0.001,0.123821118
M27293,0.001,0.064835134
M16523,0.001,0.056087764
M519,0.001,0.12429938
M27672,0.001,0.032503288
M1443,0.001,0.074345972
M27849,0.022,0.379729408
M27840,0.098,0.216383403
M868,0.001,0.006144425
M1009,0.001,0.380792348
M27570,1,Inf
M27232,0.009,0.064016872
M27059,0.001,0.268186965
M27219,0.001,0.010207977
M27060,0.001,0.275989543
M1877,0.116,0.043538713
M41833,0.001,0.020518896
M773,0.007,0.01733528
M692,0.001,0.043332189
M10775,0.001,0.109444065
M27497,0.772,0.036645137
M27439,0.02,0.143339636
M695,0.003,0.009017701
M507,0.001,0.045790236
M636,0.001,0.125209026
M685,0.001,0.380179209
M27390,0.001,0.38305358
M666,0.015,0.128307054
M27252,0.001,0.063945713
M660,0.002,0.174472847
M26960,0.094,0.216383403
M27201,0.001,0.008067812
M29568,0.292,0.378909695
M27230,0.001,0.045168067
M27612,0.001,0.379155259
M27349,0.001,0.380627242
M27131,0.001,0.007024581
M27255,0.001,0.041125103
M27594,0.001,0.268280964
M41830,0.001,0.099661467
M928,0.001,0.11260069
M1003,0.001,0.207618332
M27648,0.001,0.019476348
M1072,0.001,0.04169981
M29816,0.003,0.044463476
M1015,0.003,0.11037257
M27781,0.001,0.380053093
M39003,0.001,0.379865909
M27888,0.001,0.003126638
M29617,0.001,0.064190961
M27584,0.039,0.124108126
M27198,0.001,0.076210006
M27933,0.001,0.268285863
M6121,0.001,0.124601182
M29806,0.001,0.14674134
M14804,0.001,0.012274423
M1051,0.001,0.209779349
M706,0.946,0.004529377
M877,0.001,0.2082746
M19381,0.001,0.002036028
M27383,0.014,0.212004429
M18437,0.001,0.008009389
M27751,0.55,0.00285882
M518,0.996,0.011774766
M27408,0.001,0.056244996
M27605,0.006,0.143401235
M8240,0.001,0.005897431
M29805,0.001,0.009539834
M27858,0.001,0.379468311
M5113,0.001,0.03636122
M27893,0.025,0.379729408
M27897,0.001,0.270928378
M27894,0.001,0.014317109
M26964,0.001,0.017059354
M715,0.001,0.022421732
M5283,0.001,0.003022558
M27860,0.001,0.384396468
M27381,0.001,0.012099115
M27873,0.001,0.145492759
M29804,0.004,0.007139269
M542,0.001,0.16997016
M27604,0.001,0.143016026
M1014,0.067,0.379729408
M27592,0.001,0.109445738
M760,0.001,0.047571076
M921,0.001,0.380425771
M1870,0.001,0.020872768
M1030,0.001,0.027607647
M4076,0.23,0.004877692
M1012,0.001,0.056417331
M935,0.001,0.379468311
M971,0.046,0.024196066
M27467,0.005,0.010366881
M14766,0.001,0.036273427
M27460,0.001,0.021850665
M27240,0.001,0.210552565
M27464,0.001,0.171684185
M27282,0.001,0.023948795
M27577,0.001,0.209555115
M859,0.001,0.207974907
M1080,0.001,0.023402484
M965,0.062,0.009521086
M690,0.001,0.081287112
M670,0.006,0.123986524
M27706,0.001,0.387800447
M691,0.001,0.2708584
M29844,0.001,0.379207214
M899,0.76,0.005193414
M959,0.001,0.380892746
M997,0.002,0.008207663
M27846,0.001,0.099675362
M42519,0.001,0.390226785
M27936,0.028,0.379729408
M27115,0.001,0.390226785
M27949,0.001,0.27072837
M962,0.001,0.030507649
M26916,0.001,0.098567645
M29766,0.001,0.209203449
M27780,0.001,0.143224488
M27228,0.001,0.384582084
M27680,0.002,0.127739545
M27567,0.003,0.2079045
M7455,0.001,0.011241239
M26896,0.001,0.387800447
M27176,0.001,0.379501561
M39011,0.001,0.276925202
M39012,0.001,0.280495497
M620,0.001,0.037967457
M39013,0.001,0.386822806
M15195,0.001,0.028474263
M42520,0.001,0.148554132
M27901,0.051,0.100429002
M27903,0.001,0.392467506
M41728,0.001,0.060019833
M27776,0.001,0.268349241
M27640,0.001,0.0036832
M27775,0.001,0.384582084
M27740,0.001,0.379501561
M1011,0.001,0.080754249
M27079,0.001,0.024048003
M914,0.001,0.021346931
M1061,0.001,0.123988752
M27644,0.009,0.272064281
M27777,0.02,0.379795909
M27461,0.001,0.111957232
M27382,0.001,0.004608476
M27169,0.002,0.213232024
M29836,0.001,0.001429077
M27102,0.001,0.099461553
M27104,0.052,0.057156522
M27855,0.001,0.126012106
M27085,0.016,0.088335821
M27081,0.012,0.054733849
M27216,0.001,0.06413306
M27622,0.001,0.274874687
M18795,0.013,0.089415492
M1088,0.001,0.081195788
M18311,0.001,0.004441128
M27543,0.433,0.27540885
M27652,0.001,0.037934406
M26967,0.003,0.101249982
M27580,0.001,0.088874093
M27832,0.06,0.004891166
M41838,0.001,0.273354906
M27472,0.61,0.002989945
M27424,0.001,0.1476545
M17034,0.157,0.008726134
M27772,0.001,0.039469096
M27442,0.001,0.268809766
M27719,0.003,0.272333088
M29689,0.001,0.017345479
M27778,0.001,0.024073211
M27816,0.001,0.064045996
M712,0.001,0.110014356
M14690,0.002,0.029935302
M27642,0.001,0.041595353
M29822,0.001,0.280495497
M27661,0.001,0.172267262
M27928,0.19,0.212004429
M15096,0.001,0.388656401
M27418,0.001,0.03950872
M27093,0.001,0.00878986
M27609,0.448,0.008472608
M27709,0.001,0.275989543
M19582,0.001,0.274874807
M705,0.001,0.002316146
M27160,0.003,0.143549109
M27134,0.001,0.017288889
M26973,0.001,0.007568749
M966,0.375,0.145258609
M853,0.001,0.208778043
M979,0.001,0.097987406
M27954,0.001,0.386822806
M3492,0.001,0.109489677
M27333,0.001,0.392467506
M26997,0.492,0.11037257
M26999,0.001,0.006596492
M2881,0.001,0.053062544
M7169,0.001,0.08999978
M27011,0.001,0.274783661
M27764,0.078,0.171173946
M918,0.001,0.032585173
M27650,0.001,0.01416347
M27251,0.609,0.006113731
M12347,0.001,0.068830274
M41735,0.001,0.275989543
M872,0.003,0.003400182
M27526,0.001,0.109454278
M27527,0.001,0.123858425
M27528,0.001,0.123858425
M27568,0.001,0.379951797
M11187,0.001,0.041321453
M27529,0.001,0.123858425
M27233,0.001,0.007373323
M27944,0.001,0.12609942
M27645,0.001,0.169887912
M27380,0.159,0.214353351
M913,0.002,0.04524821
M529,0.002,0.007432939
M27654,0.001,0.001919474
M26914,0.001,0.389063527
M27616,0.001,0.041594093
M985,0.001,0.023466969
M957,0.001,0.384794066
M27446,1,Inf
M27931,0.645,0.110054477
M29793,0.001,0.045503992
M875,0.001,0.028643799
M27094,0.001,0.21424705
M915,0.002,0.209779349
M27921,1,Inf
M4281,0.001,0.09125032
M27089,0.001,0.064295017
M16441,0.001,0.034907612
M13015,0.001,0.388150319
M27210,0.001,0.144151425
M27159,0.001,0.379468311
M27879,0.001,0.07443984
M27882,0.001,0.38869828
M752,0.02,0.003012685
M27560,0.001,0.036459004
M27880,0.001,0.097780566
M27881,0.001,0.268785703
M735,0.001,0.001244207
M29809,0.001,0.380053093
M27378,0.109,0.278799948
M1059,0.001,0.036366248
M7257,0.002,0.171032415
M42525,0.001,0.053800545
M27942,0.01,0.143730615
M29790,0.001,0.059774325
M27000,0.002,0.022903305
M29777,0.001,0.028462397
M11215,0.001,0.008818949
M27426,0.001,0.034969478
M571,0.001,0.050836462
M8276,0.001,0.033860941
M27829,0.001,0.057151319
M27482,0.001,0.02947657
M6177,0.001,0.098238504
M27831,0.001,0.053049271
M152,0.001,0.010127766
M27859,0.001,0.207996985
M977,0.001,0.018679918
M10959,0.001,0.09002277
M27385,0.001,0.061623341
M546,0.001,0.050141576
M27190,0.001,0.036277377
M1441,0.001,0.207753662
M14582,0.002,0.268316801
M27579,0.001,0.019101044
M18175,0.014,0.1431936
M1005,0.001,0.143639381
M27895,0.001,0.013315261
M1074,0.001,0.008091489
M7927,0.001,0.14430488
M27682,0.001,0.123731632
M11773,0.001,0.169270069
M27588,0.001,0.380250879
M29846,0.001,0.267591674
M27416,0.001,0.082460652
M27211,0.001,0.015135975
M27626,0.233,0.041206934
M792,0.001,0.064494117
M27455,0.045,0.175741158
M27835,0.028,0.128386411
M9400,0.001,0.004424706
M611,0.001,0.026958208
M27850,0.001,0.280495497
M27167,0.001,0.381525075
M27186,0.001,0.009778639
M27737,0.001,0.386822806
M27915,0.001,0.207558082
M848,0.001,0.001132247
M714,0.001,0.380053093
M738,0.001,0.017036818
M27822,0.001,0.003054314
M2286,0.002,0.059809657
M777,0.001,0.001403437
M27655,0.029,0.127426695
M649,0.02,0.002366971
M27587,0.001,0.052992537
M27673,0.001,0.016078508
M27462,0.001,0.208267358
M27841,0.001,0.145263399
M29582,0.001,0.007416227
M759,0.003,0.14376489
M27419,0.001,0.088447936
M4138,0.001,0.019869613
M27842,0.001,0.064746257
M12289,0.001,0.110402333
M9450,0.001,0.088994644
M27847,0.001,0.047716273
M26971,0.001,0.20869664
M924,0.002,0.110523472
M919,0.001,0.126252604
M1073,0.001,0.214084042
M18788,0.998,0.0164603
M614,0.001,0.124692164
M27674,0.001,0.007079584
M26985,0.001,0.038560209
M27660,0.001,0.006360863
M27082,0.074,0.215368377
M19135,0.001,0.124034693
M29819,0.001,0.384582084
M27235,0.008,0.268446637
M590,0.001,0.0139141
M916,0.001,0.01849338
M27819,0.001,0.268280964
M552,0.001,0.274114796
M622,0.001,0.207631507
M607,0.001,0.022871967
M27782,0.001,0.065127492
M27562,0.001,0.389063527
M27355,0.001,0.386822806
M39007,0.207,0.010860989
M10735,0.001,0.030390258
M27038,0.001,0.20807919
M27617,0.001,0.025697335
M27218,0.001,0.018728269
M27732,0.01,0.276925202
M27734,0.001,0.088271529
M842,0.001,0.110963148
M10654,0.001,0.385294301
M814,0.001,0.16938933
M27032,0.978,0.021046265
M27689,0.001,0.267876662
M29838,0.001,0.03561491
M27445,0.015,0.070293471
M41805,0.001,0.060443266
M26917,0.001,0.111081502
M17157,0.001,0.043260743
M923,0.001,0.125062928
M41810,0.02,0.001953024
M5485,0.981,0.005983952
M17670,0.016,0.380524605
M27955,0.001,0.275989543
M29526,0.001,0.274498674
